Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),,
Desserts,Chocolate Chip Cookie,1 cookie (33 g),16,7,8,12,4,19,,1,3,9,4,21,7,1,3,15,2,2,8,2,8,,
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),15,5,6,9,3,13,,1,3,135,6,22,7,1,3,13,2,2,8,2,6,,
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,1,2,2,1,4,,5,2,2,1,7,2,2,8,6,1,2,8,4,6,,
Desserts,Hot Fudge Sundae,6.3 oz (179 g),33,8,9,14,7,34,,25,8,17,7,53,18,1,3,48,8,8,8,25,8,,
Desserts,Hot Caramel Sundae,6.4 oz (182 g),34,7,8,12,5,24,,3,1,15,6,6,2,2,8,43,7,1,8,25,6,,
Desserts,Strawberry Sundae,6.3 oz (178 g),28,6,6,1,4,2,,25,8,85,4,49,16,2,8,45,6,8,4,2,6,,
Beverages,Coca-Cola Classic (Small),16 fl oz cup,14,,,,,,,,,,,39,13,2,8,39,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,2,,,,,,,,,5,,55,18,2,8,55,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Large),30 fl oz cup,28,,,,,,,,,5,,76,25,2,8,76,13,7,8,9,6,,
Beverages,Coca-Cola Classic (Child),12 fl oz cup,1,,,,,,,,,,,28,9,2,8,28,13,7,8,9,6,,
Beverages,Diet Coke (Small),16 fl oz cup,,,,,,,,,,1,,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Medium),21 fl oz cup,,,,,,,,,,2,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Large),30 fl oz cup,,,,,,,,,,35,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Diet Coke (Child),12 fl oz cup,,,,,,,,,,15,1,,15,2,8,29,13,7,8,9,6,,
Beverages,Dr Pepper (Small),16 fl oz cup,14,,,,,,,,,45,2,37,12,2,8,35,13,7,8,9,6,,
Beverages,Dr Pepper (Medium),21 fl oz cup,19,,,,,,,,,65,3,53,18,2,8,51,13,7,8,9,6,,
Beverages,Dr Pepper (Large),30 fl oz cup,27,,,,,,,,,9,4,72,24,2,8,7,13,7,8,9,6,,
Beverages,Dr Pepper (Child),12 fl oz cup,1,,,,,,,,,3,1,27,9,2,8,26,13,7,8,9,6,,
Beverages,Diet Dr Pepper (Small),16 fl oz cup,,,,,,,,,,7,3,,15,2,8,29,2,7,8,9,6,,
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,,,,,,,,,,1,4,,15,2,8,29,3,7,8,9,6,,
Beverages,Diet Dr Pepper (Large),30 fl oz cup,,,,,,,,,,14,6,,15,2,8,29,4,7,8,9,6,,
